Document Date,Year,Purchase Number,Material Description,Group,Buyer Name,Store Location,Net Price,Currency,Net price in USD,Order Quantity,Total price,Vendor,Delivered Quantity,Paid Amount,Balance,Remarks,Savings,Savings Amount
18/12/2021,2021,100589,Cleaning Gloves,School supplies,Michael Williams,New Mexico,$1.00,USD,$1.00,50,$50.00,Global Essentials Inc.,15,$35.00,$15.00,"""After lengthy discussions, the buyers were met with 0% savings from the supplier, leaving them unsatisfied.""",0,$0.00
19/12/2021,2021,100589,Makeup Organizers,Home Decor,Michael Williams,New Mexico,$25.00,USD,$25.00,28,$700.00,Global Essentials Inc.,11,$420.00,$280.00,"""After lengthy discussions, the buyers were met with 0% savings from the supplier, leaving them unsatisfied.""",0,$0.00
20/12/2021,2021,100589,Decorative Baskets,Home Decor,Michael Williams,New Mexico,$20.00,USD,$20.00,11,$220.00,Global Essentials Inc.,11,$0.00,$220.00,"""After lengthy discussions, the buyers were met with 0% savings from the supplier, leaving them unsatisfied.""",0,$0.00
21/12/2021,2021,100589,Levels,Hardware supplies,Michael Williams,Nevada,$15.00,USD,$15.00,44,$660.00,Global Essentials Inc.,40,$66.00,$594.00,"""After lengthy discussions, the buyers were met with 0% savings from the supplier, leaving them unsatisfied.""",0,$0.00
22/12/2021,2021,100589,Planting Bulbs,Gardening supplies,Michael Williams,New Mexico,$5.00,USD,$5.00,32,$160.00,Global Essentials Inc.,13,$96.00,$64.00,"""After lengthy discussions, the buyers were met with 0% savings from the supplier, leaving them unsatisfied.""",0,$0.00
23/12/2021,2021,100590,Fountain Pens,School supplies,Christopher Jones,Washington,$3.00,USD,$3.00,21,$63.00,All-Purpose Depot,2,$56.70,$6.30,"""Negotiating tactfully with the supplier led to impressive savings of 4.9% for the pleased buyers.""",4.9,$3.09
24/12/2021,2021,100591,Framed Wall Art,Home Decor,Michael Williams,New Mexico,$50.00,USD,$50.00,25,"$1,250.00",Global Essentials Inc.,3,"$1,125.00",$125.00,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
25/12/2021,2021,100591,Chalk,School supplies,Michael Williams,Oregon,$1.00,USD,$1.00,20,$20.00,Global Essentials Inc.,20,$0.00,$20.00,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
26/12/2021,2021,100591,Drawer Organizers (for clothing),Home Decor,Michael Williams,Arizona,$12.00,USD,$12.00,43,$516.00,Global Essentials Inc.,22,$258.00,$258.00,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
27/12/2021,2021,100591,Bird Feeders,Gardening supplies,Michael Williams,Oregon,$15.00,USD,$15.00,38,$570.00,Global Essentials Inc.,23,$228.00,$342.00,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
28/12/2021,2021,100591,Shoe Organizers,Home Decor,Michael Williams,Idaho,$15.00,USD,$15.00,3,$45.00,Global Essentials Inc.,3,$0.00,$45.00,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
29/12/2021,2021,100591,Under Bed Storage,Home Decor,Michael Williams,Utah,$30.00,USD,$30.00,10,$300.00,Global Essentials Inc.,10,$0.00,$300.00,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
30/12/2021,2021,100591,Levels,Hardware supplies,Michael Williams,Idaho,$15.00,USD,$15.00,36,$540.00,Global Essentials Inc.,7,$432.00,$108.00,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
31/12/2021,2021,100592,Bath Mats,Bathroom supplies,Jessica Brown,California,$10.00,USD,$10.00,8,$80.00,Superior General Supplies,8,$0.00,$80.00,"""Negotiating with the supplier paid off, as buyers received a modest discount of 0.8% on their total expenditure.""",0.8,$0.64
01/01/2022,2022,100593,Presentation Clickers,School supplies,Christopher Jones,Colorado,$20.00,USD,$20.00,36,$720.00,All-Purpose Depot,7,$576.00,$144.00,"""The buyers' efforts were rewarded with an excellent 9.90% savings from the supplier, leaving them delighted.""",9.9,$71.28
02/01/2022,2022,100594,Tissue Box Covers,Bathroom supplies,John Smith,Arizona,$10.00,USD,$10.00,45,$450.00,Universal Supply Co.,23,$225.00,$225.00,"""After tough negotiations, the buyers were delighted to get 9.50% savings from the supplier.""",9.5,$42.75
03/01/2022,2022,100595,Tea Towels,Home Decor,Michael Williams,Oregon,$8.00,USD,$8.00,31,$248.00,Global Essentials Inc.,28,$24.80,$223.20,""" """,0,$0.00
04/01/2022,2022,100596,Decorative Vases,Home Decor,Michael Williams,Colorado,$25.00,USD,$25.00,52,"$1,300.00",Global Essentials Inc.,47,$130.00,"$1,170.00","""Negotiating with the supplier proved fruitful, leading to substantial savings of approximately 3.2% for the savvy buyers.""",3.2,$41.60
05/01/2022,2022,100597,Cleaning Gloves,School supplies,Jessica Brown,Utah,$1.00,USD,$1.00,24,$24.00,Superior General Supplies,22,$2.40,$21.60,"""Through shrewd negotiations, buyers were able to obtain savings of around 7.30% on their order.""",7.3,$1.75
06/01/2022,2022,100598,Napkin Holders,Home Decor,Michael Williams,New Mexico,$12.00,USD,$12.00,27,$324.00,Global Essentials Inc.,27,$0.00,$324.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 2.8% on their order.""",2.8,$9.07
07/01/2022,2022,100598,Garden Flags,Gardening supplies,Michael Williams,Idaho,$8.00,USD,$8.00,49,$392.00,Global Essentials Inc.,5,$352.80,$39.20,"""Through shrewd negotiations, buyers were able to obtain savings of around 2.8% on their order.""",2.8,$10.98
08/01/2022,2022,100598,Garden Carts,Gardening supplies,Michael Williams,Arizona,$80.00,USD,$80.00,5,$400.00,Global Essentials Inc.,5,$0.00,$400.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 2.8% on their order.""",2.8,$11.20
09/01/2022,2022,100598,Shoe Racks,Home Decor,Michael Williams,California,$25.00,USD,$25.00,44,"$1,100.00",Global Essentials Inc.,44,$0.00,"$1,100.00","""Through shrewd negotiations, buyers were able to obtain savings of around 2.8% on their order.""",2.8,$30.80
10/01/2022,2022,100598,Fire Extinguishers,Hardware supplies,Michael Williams,Utah,$40.00,USD,$40.00,46,"$1,840.00",Global Essentials Inc.,46,$0.00,"$1,840.00","""Through shrewd negotiations, buyers were able to obtain savings of around 2.8% on their order.""",2.8,$51.52
11/01/2022,2022,100598,Brackets,Hardware supplies,Michael Williams,Oregon,$1.00,USD,$1.00,7,$7.00,Global Essentials Inc.,7,$0.00,$7.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 2.8% on their order.""",2.8,$0.20
12/01/2022,2022,100598,Shower Curtains,Bathroom supplies,Michael Williams,Colorado,$20.00,USD,$20.00,8,$160.00,Global Essentials Inc.,8,$0.00,$160.00,"""Through shrewd negotiations, buyers were able to obtain savings of around 2.8% on their order.""",2.8,$4.48
13/01/2022,2022,100599,Bolts,Hardware supplies,Christopher Jones,Colorado,$0.15,USD,$0.15,27,$4.05,All-Purpose Depot,27,$0.00,$4.05,"""The buyers' bargaining skills paid off, as they achieved a discount of 1.2% on their purchase from the supplier.""",1.2,$0.05
14/01/2022,2022,100599,Garden Fountains,Gardening supplies,Christopher Jones,Utah,$80.00,USD,$80.00,44,"$3,520.00",All-Purpose Depot,26,"$1,408.00","$2,112.00","""The buyers' bargaining skills paid off, as they achieved a discount of 1.2% on their purchase from the supplier.""",1.2,$42.24
15/01/2022,2022,100599,Plant Pots,Home Decor,Christopher Jones,Utah,$10.00,USD,$10.00,39,$390.00,All-Purpose Depot,12,$273.00,$117.00,"""The buyers' bargaining skills paid off, as they achieved a discount of 1.2% on their purchase from the supplier.""",1.2,$4.68
16/01/2022,2022,100599,Portable Projectors,School supplies,Christopher Jones,Colorado,$80.00,USD,$80.00,45,"$3,600.00",All-Purpose Depot,36,$720.00,"$2,880.00","""The buyers' bargaining skills paid off, as they achieved a discount of 1.2% on their purchase from the supplier.""",1.2,$43.20
17/01/2022,2022,100599,Raised Garden Beds,Gardening supplies,Christopher Jones,Oregon,$100.00,USD,$100.00,38,"$3,800.00",All-Purpose Depot,38,$0.00,"$3,800.00","""The buyers' bargaining skills paid off, as they achieved a discount of 1.2% on their purchase from the supplier.""",1.2,$45.60
18/01/2022,2022,100599,Hand Towels,Bathroom supplies,Christopher Jones,Colorado,$8.00,USD,$8.00,39,$312.00,All-Purpose Depot,39,$0.00,$312.00,"""The buyers' bargaining skills paid off, as they achieved a discount of 1.2% on their purchase from the supplier.""",1.2,$3.74
19/01/2022,2022,100599,Watering Cans,Gardening supplies,Christopher Jones,Utah,$12.00,USD,$12.00,53,$636.00,All-Purpose Depot,48,$63.60,$572.40,"""The buyers' bargaining skills paid off, as they achieved a discount of 1.2% on their purchase from the supplier.""",1.2,$7.63
20/01/2022,2022,100600,Shoe Storage Boxes,Home Decor,John Smith,Idaho,$15.00,USD,$15.00,7,$105.00,Universal Supply Co.,2,$73.50,$31.50,"""Through shrewd negotiations, buyers were able to obtain remarkable savings of around 3.7% on their order.""",3.7,$3.89
21/01/2022,2022,100601,Plant Stands,Gardening supplies,Michael Williams,Colorado,$25.00,USD,$25.00,10,$250.00,Global Essentials Inc.,10,$0.00,$250.00,"""By employing effective negotiation strategies, the buyers saved 3.9% on their purchase from the supplier.""",3.9,$9.75
22/01/2022,2022,100602,Plant Pots,Home Decor,Emily Johnson,Colorado,$10.00,CAD,$7.60,37,$281.20,OmniSource Supplies,4,$253.08,$28.12,"""Negotiating tactfully with the supplier led to an impressive 9.20% savings for the happy buyers.""",9.2,$25.87
23/01/2022,2022,100603,Salt and Pepper Shakers,Home Decor,John Smith,New Mexico,$12.00,USD,$12.00,33,$396.00,Universal Supply Co.,13,$237.60,$158.40,"""Buyers were delighted to discover that skillful negotiations with the supplier resulted in a remarkable savings of 4.5% on their purchase.""",4.5,$17.82
24/01/2022,2022,100604,Latches,Hardware supplies,Jessica Brown,Colorado,$1.50,USD,$1.50,11,$16.50,Superior General Supplies,7,$6.60,$9.90,"""Buyers were unable to secure any savings, resulting in a melancholic end to the negotiation.""",0,$0.00
25/01/2022,2022,100605,Indoor Plants,Home Decor,John Smith,Arizona,$20.00,USD,$20.00,38,$760.00,Universal Supply Co.,4,$684.00,$76.00,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$34.20
26/01/2022,2022,100606,Planting Bulbs,Gardening supplies,Michael Williams,Nevada,$5.00,USD,$5.00,31,$155.00,Global Essentials Inc.,6,$124.00,$31.00,"""Thanks to skillful negotiations, buyers enjoyed savings of 3.5% on their total expenditure with the supplier.""",3.5,$5.43
27/01/2022,2022,100607,Solar Lights,Gardening supplies,Emily Johnson,Utah,$15.00,CAD,$11.40,53,$604.20,OmniSource Supplies,53,$0.00,$604.20,"""Through shrewd negotiations, buyers were able to obtain remarkable savings of around 3.7% on their order.""",3.7,$22.36
28/01/2022,2022,100608,Safety Harnesses,Hardware supplies,Michael Williams,Oregon,$50.00,USD,$50.00,27,"$1,350.00",Global Essentials Inc.,11,$810.00,$540.00,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$64.80
29/01/2022,2022,100608,Scientific Calculators,School supplies,Michael Williams,New Mexico,$25.00,USD,$25.00,40,"$1,000.00",Global Essentials Inc.,36,$100.00,$900.00,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$48.00
30/01/2022,2022,100608,Shower Caps,Bathroom supplies,Michael Williams,Oregon,$5.00,USD,$5.00,10,$50.00,Global Essentials Inc.,2,$40.00,$10.00,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$2.40
31/01/2022,2022,100608,Multi-purpose Cleaner,School supplies,Michael Williams,New Mexico,$2.50,USD,$2.50,4,$10.00,Global Essentials Inc.,4,$0.00,$10.00,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$0.48
01/02/2022,2022,100608,Eye Bolts,Hardware supplies,Michael Williams,Colorado,$1.50,USD,$1.50,23,$34.50,Global Essentials Inc.,12,$17.25,$17.25,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$1.66
02/02/2022,2022,100608,Rollerball Pens,School supplies,Michael Williams,Utah,$1.50,USD,$1.50,38,$57.00,Global Essentials Inc.,34,$5.70,$51.30,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$2.74
03/02/2022,2022,100608,Work Gloves,Hardware supplies,Michael Williams,California,$5.00,USD,$5.00,5,$25.00,Global Essentials Inc.,1,$22.50,$2.50,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$1.20
04/02/2022,2022,100608,Safety Vests,Hardware supplies,Michael Williams,Utah,$8.00,USD,$8.00,51,$408.00,Global Essentials Inc.,31,$163.20,$244.80,"""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$19.58
05/02/2022,2022,100609,Nails,Hardware supplies,Christopher Jones,Washington,$0.05,USD,$0.05,19,$0.95,All-Purpose Depot,19,$0.00,$0.95,"""After lengthy discussions, the buyers were met with 0% savings from the supplier, leaving them unsatisfied.""",0,$0.00
06/02/2022,2022,100610,Mirrors,Home Decor,John Smith,New Mexico,$60.00,USD,$60.00,22,"$1,320.00",Universal Supply Co.,20,$132.00,"$1,188.00","""Through shrewd negotiations, buyers were able to obtain savings of around 2.8% on their order.""",2.8,$36.96
07/02/2022,2022,100611,Pliers,Hardware supplies,Emily Johnson,California,$8.00,CAD,$6.08,28,$170.24,OmniSource Supplies,14,$85.12,$85.12,"""After careful negotiations, buyers managed to secure savings of around 2% on their order from the supplier.""",2,$3.40
08/02/2022,2022,100612,Soap Dispensers,Bathroom supplies,Emily Johnson,Utah,$12.00,CAD,$9.12,17,$155.04,OmniSource Supplies,10,$62.02,$93.02,"""By skillfully negotiating, buyers achieved a discount of 1.9% on their order.""",1.9,$2.95
09/02/2022,2022,100612,Chisels,Hardware supplies,Emily Johnson,Oregon,$8.00,CAD,$6.08,43,$261.44,OmniSource Supplies,30,$78.43,$183.01,"""By skillfully negotiating, buyers achieved a discount of 1.9% on their order.""",1.9,$4.97
10/02/2022,2022,100612,Garden Sprayers,Gardening supplies,Emily Johnson,Oregon,$20.00,CAD,$15.20,42,$638.40,OmniSource Supplies,42,$0.00,$638.40,"""By skillfully negotiating, buyers achieved a discount of 1.9% on their order.""",1.9,$12.13
11/02/2022,2022,100612,Computer Mouse,School supplies,Emily Johnson,Washington,$15.00,CAD,$11.40,35,$399.00,OmniSource Supplies,35,$0.00,$399.00,"""By skillfully negotiating, buyers achieved a discount of 1.9% on their order.""",1.9,$7.58
12/02/2022,2022,100612,Plant Hangers,Gardening supplies,Emily Johnson,Colorado,$12.00,CAD,$9.12,32,$291.84,OmniSource Supplies,16,$145.92,$145.92,"""By skillfully negotiating, buyers achieved a discount of 1.9% on their order.""",1.9,$5.54
13/02/2022,2022,100612,Trash Can,School supplies,Emily Johnson,Utah,$10.00,CAD,$7.60,9,$68.40,OmniSource Supplies,9,$0.00,$68.40,"""By skillfully negotiating, buyers achieved a discount of 1.9% on their order.""",1.9,$1.30
14/02/2022,2022,100612,Garden Twine,Gardening supplies,Emily Johnson,Oregon,$5.00,CAD,$3.80,43,$163.40,OmniSource Supplies,17,$98.04,$65.36,"""By skillfully negotiating, buyers achieved a discount of 1.9% on their order.""",1.9,$3.10
15/02/2022,2022,100613,Trowels,Hardware supplies,Emily Johnson,Idaho,$5.00,CAD,$3.80,33,$125.40,OmniSource Supplies,3,$112.86,$12.54,""" """,0,$0.00
16/02/2022,2022,100614,Paint Brushes,Hardware supplies,Jessica Brown,Washington,$3.00,USD,$3.00,46,$138.00,Superior General Supplies,46,$0.00,$138.00,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$6.21
17/02/2022,2022,100615,Robe Hooks,Bathroom supplies,Christopher Jones,Colorado,$8.00,USD,$8.00,32,$256.00,All-Purpose Depot,29,$25.60,$230.40,"""Buyers successfully haggled with the supplier and received a discount of 0.5% on their total expenditure.""",0.5,$1.28
18/02/2022,2022,100616,Closet Organizers,Home Decor,John Smith,Nevada,$35.00,USD,$35.00,25,$875.00,Universal Supply Co.,8,$612.50,$262.50,"""The buyers' negotiation skills paid off, as they achieved a generous savings of 4.2% on their purchase from the supplier.""",4.2,$36.75
19/02/2022,2022,100617,Staplers,School supplies,Jessica Brown,Arizona,$3.00,USD,$3.00,48,$144.00,Superior General Supplies,38,$28.80,$115.20,"""Unfortunately, the negotiations did not yield any savings, causing disappointment for the buyers.""",0,$0.00
20/02/2022,2022,100618,Bath Toys for Kids,Bathroom supplies,Jessica Brown,Nevada,$10.00,USD,$10.00,32,$320.00,Superior General Supplies,32,$0.00,$320.00,"""Buyers negotiated skillfully and received a fantastic 10.00% savings from the supplier, leaving them overjoyed.""",10,$32.00
21/02/2022,2022,100619,Garden Lanterns,Gardening supplies,Emily Johnson,Idaho,$25.00,CAD,$19.00,22,$418.00,OmniSource Supplies,7,$292.60,$125.40,"""Buyers tried hard to negotiate, but the supplier offered 0% savings, leaving them feeling unhappy.""",0,$0.00
22/02/2022,2022,100620,Bath Oil and Bubbles,Bathroom supplies,Emily Johnson,Idaho,$12.00,CAD,$9.12,20,$182.40,OmniSource Supplies,20,$0.00,$182.40,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$5.84
23/02/2022,2022,100621,Toilet Brushes,Bathroom supplies,Jessica Brown,California,$12.00,USD,$12.00,4,$48.00,Superior General Supplies,2,$28.80,$19.20,"""Buyers tried hard to negotiate, but the supplier offered 0% savings, leaving them feeling unhappy.""",0,$0.00
24/02/2022,2022,100622,Toilet Paper Stands,Bathroom supplies,Christopher Jones,Colorado,$12.00,USD,$12.00,26,$312.00,All-Purpose Depot,26,$0.00,$312.00,"""The buyers' efforts were rewarded with an excellent 9.90% savings from the supplier, leaving them delighted.""",9.9,$30.89
25/02/2022,2022,100623,Cotton Swab Holders,Bathroom supplies,John Smith,Oregon,$8.00,USD,$8.00,27,$216.00,Universal Supply Co.,24,$21.60,$194.40,"""The buyers' negotiation skills paid off, as they achieved a generous savings of 4.2% on their purchase from the supplier.""",4.2,$9.07
26/02/2022,2022,100623,Lawn Edging,Gardening supplies,John Smith,Arizona,$20.00,USD,$20.00,26,$520.00,Universal Supply Co.,5,$416.00,$104.00,"""The buyers' negotiation skills paid off, as they achieved a generous savings of 4.2% on their purchase from the supplier.""",4.2,$21.84
27/02/2022,2022,100623,Accent Pillows,Home Decor,John Smith,Idaho,$25.00,USD,$25.00,12,$300.00,Universal Supply Co.,12,$0.00,$300.00,"""The buyers' negotiation skills paid off, as they achieved a generous savings of 4.2% on their purchase from the supplier.""",4.2,$12.60
28/02/2022,2022,100623,Picture Frames,Home Decor,John Smith,Nevada,$12.00,USD,$12.00,24,$288.00,Universal Supply Co.,12,$144.00,$144.00,"""The buyers' negotiation skills paid off, as they achieved a generous savings of 4.2% on their purchase from the supplier.""",4.2,$12.10
01/03/2022,2022,100623,Spice Racks,Home Decor,John Smith,Colorado,$20.00,USD,$20.00,19,$380.00,Universal Supply Co.,19,$0.00,$380.00,"""The buyers' negotiation skills paid off, as they achieved a generous savings of 4.2% on their purchase from the supplier.""",4.2,$15.96
02/03/2022,2022,100623,Trash Cans,Bathroom supplies,John Smith,Oregon,$20.00,USD,$20.00,52,"$1,040.00",Universal Supply Co.,36,$312.00,$728.00,"""The buyers' negotiation skills paid off, as they achieved a generous savings of 4.2% on their purchase from the supplier.""",4.2,$43.68
03/03/2022,2022,100623,Chisels,Hardware supplies,John Smith,Oregon,$8.00,USD,$8.00,32,$256.00,Universal Supply Co.,13,$153.60,$102.40,"""The buyers' negotiation skills paid off, as they achieved a generous savings of 4.2% on their purchase from the supplier.""",4.2,$10.75
04/03/2022,2022,100624,Garden Benches,Gardening supplies,Jessica Brown,Colorado,$50.00,USD,$50.00,14,$700.00,Superior General Supplies,8,$280.00,$420.00,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$31.50
05/03/2022,2022,100624,Earplugs,Hardware supplies,Jessica Brown,Colorado,$1.50,USD,$1.50,7,$10.50,Superior General Supplies,3,$6.30,$4.20,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$0.47
06/03/2022,2022,100624,Throw Rugs,Home Decor,Jessica Brown,California,$40.00,USD,$40.00,21,$840.00,Superior General Supplies,21,$0.00,$840.00,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$37.80
07/03/2022,2022,100624,Circular Saws,Hardware supplies,Jessica Brown,California,$100.00,USD,$100.00,46,"$4,600.00",Superior General Supplies,46,$0.00,"$4,600.00","""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$207.00
08/03/2022,2022,100624,Knee Pads,Hardware supplies,Jessica Brown,Utah,$10.00,USD,$10.00,21,$210.00,Superior General Supplies,21,$0.00,$210.00,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$9.45
09/03/2022,2022,100624,Erasers,School supplies,Jessica Brown,California,$0.50,USD,$0.50,8,$4.00,Superior General Supplies,8,$0.00,$4.00,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$0.18
10/03/2022,2022,100624,Shower Curtains Hooks,Bathroom supplies,Jessica Brown,California,$8.00,USD,$8.00,20,$160.00,Superior General Supplies,18,$16.00,$144.00,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$7.20
11/03/2022,2022,100625,Storage Baskets,Home Decor,John Smith,New Mexico,$18.00,USD,$18.00,6,$108.00,Universal Supply Co.,2,$64.80,$43.20,"""The buyers' efforts were rewarded with an excellent 9.90% savings from the supplier, leaving them delighted.""",9.9,$10.69
12/03/2022,2022,100626,Paint Sprayers,Hardware supplies,Emily Johnson,Utah,$80.00,CAD,$60.80,45,"$2,736.00",OmniSource Supplies,45,$0.00,"$2,736.00","""Smart bargaining with the supplier led to a significant savings of 4.8% for the satisfied buyers.""",4.8,$131.33
13/03/2022,2022,100627,Door Closers,Hardware supplies,John Smith,California,$15.00,USD,$15.00,19,$285.00,Universal Supply Co.,2,$256.50,$28.50,"""Buyers negotiated skillfully but unfortunately received 0% savings from the supplier, leaving them disheartened.""",0,$0.00
14/03/2022,2022,100628,Disinfectant Spray,School supplies,Michael Williams,New Mexico,$3.50,USD,$3.50,40,$140.00,Global Essentials Inc.,40,$0.00,$140.00,"""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
15/03/2022,2022,100628,Pencil Cases,School supplies,Michael Williams,Nevada,$5.00,USD,$5.00,25,$125.00,Global Essentials Inc.,25,$0.00,$125.00,"""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
16/03/2022,2022,100628,Index Cards,School supplies,Michael Williams,Colorado,$1.20,USD,$1.20,6,$7.20,Global Essentials Inc.,6,$0.00,$7.20,"""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
17/03/2022,2022,100628,Shoe Organizers,Home Decor,Michael Williams,Utah,$15.00,USD,$15.00,18,$270.00,Global Essentials Inc.,11,$108.00,$162.00,"""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
18/03/2022,2022,100628,Bathroom Bins,Bathroom supplies,Michael Williams,Colorado,$15.00,USD,$15.00,28,$420.00,Global Essentials Inc.,3,$378.00,$42.00,"""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
19/03/2022,2022,100628,Hooks,Hardware supplies,Michael Williams,Nevada,$0.80,USD,$0.80,16,$12.80,Global Essentials Inc.,10,$5.12,$7.68,"""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
20/03/2022,2022,100628,Lint Rollers,Home Decor,Michael Williams,Oregon,$5.00,USD,$5.00,10,$50.00,Global Essentials Inc.,10,$0.00,$50.00,"""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
21/03/2022,2022,100629,Outdoor Clocks,Gardening supplies,Jessica Brown,Washington,$20.00,USD,$20.00,50,"$1,000.00",Superior General Supplies,45,$100.00,$900.00,""" """,0,$0.00
22/03/2022,2022,100630,Wheelbarrows,Gardening supplies,Christopher Jones,Oregon,$70.00,USD,$70.00,53,"$3,710.00",All-Purpose Depot,21,"$2,226.00","$1,484.00","""Despite their hopes, the buyers received 0% savings, which left them feeling discouraged.""",0,$0.00
23/03/2022,2022,100631,Chalk,School supplies,Jessica Brown,New Mexico,$1.00,USD,$1.00,31,$31.00,Superior General Supplies,6,$24.80,$6.20,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$0.99
24/03/2022,2022,100631,Respirators,Hardware supplies,Jessica Brown,Utah,$10.00,USD,$10.00,14,$140.00,Superior General Supplies,14,$0.00,$140.00,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$4.48
25/03/2022,2022,100631,Fire Blankets,Hardware supplies,Jessica Brown,Idaho,$25.00,USD,$25.00,53,"$1,325.00",Superior General Supplies,27,$662.50,$662.50,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$42.40
26/03/2022,2022,100631,Traffic Cones,Hardware supplies,Jessica Brown,California,$10.00,USD,$10.00,3,$30.00,Superior General Supplies,2,$6.00,$24.00,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$0.96
27/03/2022,2022,100631,Safety Whistles,Hardware supplies,Jessica Brown,Colorado,$2.00,USD,$2.00,25,$50.00,Superior General Supplies,5,$40.00,$10.00,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$1.60
28/03/2022,2022,100631,Garden Sheds,Gardening supplies,Jessica Brown,Oregon,$500.00,USD,$500.00,32,"$16,000.00",Superior General Supplies,32,$0.00,"$16,000.00","""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$512.00
29/03/2022,2022,100631,Drawer Organizers (for clothing),Home Decor,Jessica Brown,New Mexico,$12.00,USD,$12.00,49,$588.00,Superior General Supplies,39,$117.60,$470.40,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$18.82
30/03/2022,2022,100631,Power Drills,Hardware supplies,Jessica Brown,Washington,$50.00,USD,$50.00,36,"$1,800.00",Superior General Supplies,36,$0.00,"$1,800.00","""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$57.60
31/03/2022,2022,100632,Rakes,Gardening supplies,Michael Williams,Nevada,$12.00,USD,$12.00,2,$24.00,Global Essentials Inc.,0,$21.60,$2.40,"""Buyers successfully haggled with the supplier and received a pleasing 6.50% discount on their purchase.""",6.5,$1.56
01/04/2022,2022,100633,Broom and Dustpan,School supplies,Jessica Brown,Washington,$5.00,USD,$5.00,40,$200.00,Superior General Supplies,12,$140.00,$60.00,"""Through shrewd negotiations, buyers were able to obtain remarkable savings of around 3.7% on their order.""",3.7,$7.40
02/04/2022,2022,100634,Crowbars,Hardware supplies,Christopher Jones,Idaho,$10.00,USD,$10.00,23,$230.00,All-Purpose Depot,16,$69.00,$161.00,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
